value,location_id,date,province_id,autonomous_region_id,age_range,sex,_id
2343,39075,2010-06,39,6,25-44,M,39075/2010-06-01/25-44/M
668,39075,2010-06,39,6,<25,H,39075/2010-06-01/<25/H
557,39075,2010-07,39,6,25-44,H,39075/2010-07-01/25-44/H
632,39075,2010-07,39,6,<25,H,39075/2010-07-01/<25/H
2267,39075,2010-07,39,6,25-44,M,39075/2010-07-01/25-44/M
2472,39075,2010-07,39,6,>=45,M,39075/2010-07-01/>=45/M
3414,39075,2010-07,39,6,>=45,H,39075/2010-07-01/>=45/H
3096,39075,2010-07,39,6,<25,M,39075/2010-07-01/<25/M
536,39075,2010-08,39,6,25-44,H,39075/2010-08-01/25-44/H
3119,39075,2010-08,39,6,<25,M,39075/2010-08-01/<25/M
3441,39075,2010-08,39,6,>=45,H,39075/2010-08-01/>=45/H
2322,39075,2010-08,39,6,25-44,M,39075/2010-08-01/25-44/M
